Title,Location,Compensation,Min_Comp,Max_Comp
Business Intelligence Analyst salaries,United States,"$72,000/yr",52000,100000
Business Intelligence Analyst salaries,New York City Metropolitan Area,"$72,400/yr",55000,104000
Business Intelligence Analyst salaries,Los Angeles Metropolitan Area,"$80,000/yr",54900,100000
Business Intelligence Analyst salaries,Greater Boston,"$80,000/yr",52000,85200
Business Intelligence Analyst salaries,San Francisco Bay Area,"$96,000/yr",70000,125000
Business Intelligence Analyst salaries,Greater Chicago Area,"$67,600/yr",52300,91000
Business Intelligence Analyst salaries,Greater Seattle Area,"$85,000/yr",65000,107000
Business Intelligence Analyst salaries,Salt Lake City Metropolitan Area,"$69,000/yr",51200,89400
Business Intelligence Analyst salaries,Atlanta Metropolitan Area,"$70,000/yr",55000,89600
Business Intelligence Analyst salaries,Dallas-Fort Worth Metroplex,"$70,000/yr",55000,99800
Business Intelligence Analyst salaries,Denver Metropolitan Area,"$70,000/yr",55000,90000
Business Intelligence Analyst salaries,Kansas City Metropolitan Area,"$64,000/yr",47700,85700
Business Intelligence Analyst salaries,Greater Phoenix Area,"$75,000/yr",48000,95000
Business Intelligence Analyst salaries,Miami Metropolitan Area,"$65,100/yr",46800,114000
Business Intelligence Analyst salaries,"Austin, Texas Metropolitan Area","$81,000/yr",52300,101000
Business Intelligence Analyst salaries,Charlotte Metro,"$71,300/yr",52900,98300
Business Intelligence Analyst salaries,Greater Minneapolis-St. Paul Area,"$75,500/yr",60000,109000
Business Intelligence Analyst salaries,Greater Houston,"$81,000/yr",64200,106000
Business Intelligence Analyst salaries,Nashville Metropolitan Area,"$62,500/yr",44600,93000
Business Intelligence Analyst salaries,Grand Rapids Metropolitan Area,"$69,500/yr",51800,87500
Luther Burbank Savings Business Intelligence Analyst salaries,Greater Los Angeles Area,"$66,100/yr",42000,104000
"OCHIN, Inc. Business Intelligence Analyst salaries","Portland, Oregon Area","$72,000/yr",58700,88300
Amazon Business Intelligence Analyst salaries,San Francisco Bay Area,"$98,900/yr",70800,138000
Amazon Business Intelligence Analyst salaries,Greater Boston Area,"$84,400/yr",60400,118000
Amazon Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$79,400/yr",56900,111000
Amazon Business Intelligence Analyst salaries,Miami/Fort Lauderdale Area,"$75,500/yr",54000,105000
Amazon Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$76,800/yr",55000,107000
Amazon Business Intelligence Analyst salaries,"Indianapolis, Indiana Area","$74,300/yr",53200,104000
Amazon Business Intelligence Analyst salaries,Greater Pittsburgh Area,"$74,100/yr",53100,103000
Amazon Business Intelligence Analyst salaries,"West Palm Beach, Florida Area","$75,200/yr",53900,105000
Tata Consultancy Services Business Intelligence Analyst salaries,Greater New York City Area,"$76,200/yr",54900,106000
Tata Consultancy Services Business Intelligence Analyst salaries,Greater Los Angeles Area,"$72,900/yr",52500,101000
Tata Consultancy Services Business Intelligence Analyst salaries,San Francisco Bay Area,"$85,400/yr",61500,118000
Tata Consultancy Services Business Intelligence Analyst salaries,Greater Boston Area,"$72,900/yr",52500,101000
Tata Consultancy Services Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$68,600/yr",49400,95100
Tata Consultancy Services Business Intelligence Analyst salaries,Greater Atlanta Area,"$67,100/yr",48400,93200
Tata Consultancy Services Business Intelligence Analyst salaries,Greater Seattle Area,"$75,600/yr",54400,105000
Tata Consultancy Services Business Intelligence Analyst salaries,"Tampa/St. Petersburg, Florida Area","$63,100/yr",45400,87500
Tata Consultancy Services Business Intelligence Analyst salaries,"Greater Nashville Area, TN","$63,200/yr",45500,87700
Tata Consultancy Services Business Intelligence Analyst salaries,Greater Pittsburgh Area,"$64,000/yr",46100,88800
Tata Consultancy Services Business Intelligence Analyst salaries,"Hartford, Connecticut Area","$71,500/yr",51500,99300
Tata Consultancy Services Business Intelligence Analyst salaries,"Boise, Idaho Area","$60,700/yr",43700,84200
Tata Consultancy Services Business Intelligence Analyst salaries,"Fayetteville, Arkansas Area","$62,200/yr",44800,86400
Tata Consultancy Services Business Intelligence Analyst salaries,"Saginaw, Michigan Area","$60,200/yr",43300,83500
Accenture Business Intelligence Analyst salaries,Greater New York City Area,"$86,700/yr",62300,121000
Accenture Business Intelligence Analyst salaries,Greater Los Angeles Area,"$83,000/yr",59600,116000
Accenture Business Intelligence Analyst salaries,San Francisco Bay Area,"$97,100/yr",69700,135000
Accenture Business Intelligence Analyst salaries,Greater Atlanta Area,"$76,400/yr",54900,106000
Accenture Business Intelligence Analyst salaries,"Austin, Texas Area","$77,000/yr",55300,107000
Accenture Business Intelligence Analyst salaries,"Greater Nashville Area, TN","$71,800/yr",51600,100000
Accenture Business Intelligence Analyst salaries,Greater Pittsburgh Area,"$72,800/yr",52300,101000
Accenture Business Intelligence Analyst salaries,"Cincinnati Area, KY","$73,800/yr",53000,103000
Accenture Business Intelligence Analyst salaries,"Benton Harbor, Michigan Area","$72,500/yr",52100,101000
Cognizant Business Intelligence Analyst salaries,Greater New York City Area,"$80,400/yr",56300,115000
Cognizant Business Intelligence Analyst salaries,Greater Los Angeles Area,"$77,000/yr",53900,110000
Cognizant Business Intelligence Analyst salaries,San Francisco Bay Area,"$90,100/yr",63100,129000
Cognizant Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$72,300/yr",50700,103000
Cognizant Business Intelligence Analyst salaries,Greater Seattle Area,"$79,700/yr",55900,114000
Cognizant Business Intelligence Analyst salaries,"Houston, Texas Area","$77,500/yr",54300,111000
Cognizant Business Intelligence Analyst salaries,Greater Detroit Area,"$71,300/yr",50000,102000
Cognizant Business Intelligence Analyst salaries,Miami/Fort Lauderdale Area,"$68,800/yr",48200,98100
Cognizant Business Intelligence Analyst salaries,"Charlotte, North Carolina Area","$70,100/yr",49100,100000
Cognizant Business Intelligence Analyst salaries,"San Antonio, Texas Area","$68,000/yr",47700,97100
Cognizant Business Intelligence Analyst salaries,"Hartford, Connecticut Area","$75,500/yr",52900,108000
Microsoft Business Intelligence Analyst salaries,"Charlotte, North Carolina Area","$87,200/yr",67700,112000
Infosys Business Intelligence Analyst salaries,Greater New York City Area,"$73,200/yr",52200,103000
Infosys Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$65,800/yr",47000,92300
Infosys Business Intelligence Analyst salaries,Greater Seattle Area,"$72,600/yr",51800,102000
Infosys Business Intelligence Analyst salaries,"Houston, Texas Area","$70,500/yr",50300,98900
Infosys Business Intelligence Analyst salaries,Greater Denver Area,"$66,500/yr",47400,93300
Infosys Business Intelligence Analyst salaries,"Portland, Oregon Area","$66,500/yr",47400,93200
JPMorgan Chase & Co. Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$73,500/yr",51800,104000
JPMorgan Chase & Co. Business Intelligence Analyst salaries,"Houston, Texas Area","$78,800/yr",55500,112000
JPMorgan Chase & Co. Business Intelligence Analyst salaries,"Indianapolis, Indiana Area","$68,800/yr",48500,97600
JPMorgan Chase & Co. Business Intelligence Analyst salaries,"Savannah, Georgia Area","$66,600/yr",46900,94500
JPMorgan Chase & Co. Business Intelligence Analyst salaries,"Monroe, Louisiana Area","$62,700/yr",44200,89000
Google Business Intelligence Analyst salaries,Greater New York City Area,"$105,000/yr",79000,140000
Google Business Intelligence Analyst salaries,Greater Chicago Area,"$96,400/yr",72500,128000
Google Business Intelligence Analyst salaries,Greater Seattle Area,"$104,000/yr",78400,139000
Google Business Intelligence Analyst salaries,Greater Denver Area,"$95,600/yr",71900,127000
Google Business Intelligence Analyst salaries,Greater San Diego Area,"$100,000/yr",75400,133000
Wipro Limited Business Intelligence Analyst salaries,San Francisco Bay Area,"$78,800/yr",53100,117000
Wipro Limited Business Intelligence Analyst salaries,Greater Boston Area,"$67,200/yr",45300,99700
Wipro Limited Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$63,300/yr",42700,93800
Wipro Limited Business Intelligence Analyst salaries,Greater Seattle Area,"$69,700/yr",47000,103000
Wipro Limited Business Intelligence Analyst salaries,"Austin, Texas Area","$62,400/yr",42100,92600
Wipro Limited Business Intelligence Analyst salaries,"Tampa/St. Petersburg, Florida Area","$58,200/yr",39200,86300
Oracle Business Intelligence Analyst salaries,San Francisco Bay Area,"$84,200/yr",59200,120000
Oracle Business Intelligence Analyst salaries,Greater Seattle Area,"$74,500/yr",52400,106000
Oracle Business Intelligence Analyst salaries,"Austin, Texas Area","$66,700/yr",46900,95000
Oracle Business Intelligence Analyst salaries,"Sacramento, California Area","$71,500/yr",50300,102000
Oracle Business Intelligence Analyst salaries,"Melbourne, Florida Area","$64,100/yr",45000,91200
Deloitte Business Intelligence Analyst salaries,Greater New York City Area,"$85,800/yr",61900,119000
Apple Business Intelligence Analyst salaries,Greater New York City Area,"$90,100/yr",57300,142000
Apple Business Intelligence Analyst salaries,San Francisco Bay Area,"$101,000/yr",64200,159000
Apple Business Intelligence Analyst salaries,Greater Seattle Area,"$89,400/yr",56900,140000
Apple Business Intelligence Analyst salaries,"Austin, Texas Area","$80,000/yr",50900,126000
Apple Business Intelligence Analyst salaries,"Sacramento, California Area","$85,800/yr",54600,135000
Wells Fargo Business Intelligence Analyst salaries,Greater New York City Area,"$84,900/yr",60200,120000
Wells Fargo Business Intelligence Analyst salaries,San Francisco Bay Area,"$95,200/yr",67500,134000
Wells Fargo Business Intelligence Analyst salaries,Greater Minneapolis-St. Paul Area,"$77,400/yr",54900,109000
Wells Fargo Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$73,900/yr",52400,104000
Wells Fargo Business Intelligence Analyst salaries,"Charlotte, North Carolina Area","$74,100/yr",52500,104000
Wells Fargo Business Intelligence Analyst salaries,Greater St. Louis Area,"$71,200/yr",50500,100000
Wells Fargo Business Intelligence Analyst salaries,"Greensboro/Winston-Salem, North Carolina Area","$69,100/yr",49000,97500
Wells Fargo Business Intelligence Analyst salaries,"Fort Collins, Colorado Area","$74,100/yr",52600,105000
HCL Technologies Business Intelligence Analyst salaries,Greater Seattle Area,"$57,600/yr",38400,86400
Cisco Business Intelligence Analyst salaries,Greater New York City Area,"$88,500/yr",64500,121000
Cisco Business Intelligence Analyst salaries,Greater Los Angeles Area,"$84,700/yr",61800,116000
Cisco Business Intelligence Analyst salaries,San Francisco Bay Area,"$99,100/yr",72300,136000
Cisco Business Intelligence Analyst salaries,Greater Chicago Area,"$81,200/yr",59200,111000
Cisco Business Intelligence Analyst salaries,"Austin, Texas Area","$78,600/yr",57300,108000
Cisco Business Intelligence Analyst salaries,"Portland, Oregon Area","$80,400/yr",58600,110000
Cisco Business Intelligence Analyst salaries,"Raleigh-Durham, North Carolina Area","$77,400/yr",56500,106000
Cisco Business Intelligence Analyst salaries,"Cincinnati Area, KY","$75,300/yr",54900,103000
Cisco Business Intelligence Analyst salaries,Greater San Diego Area,"$84,400/yr",61600,116000
Cisco Business Intelligence Analyst salaries,"Richmond, Virginia Area","$77,400/yr",56500,106000
Boeing Business Intelligence Analyst salaries,Greater New York City Area,"$87,700/yr",62800,122000
Boeing Business Intelligence Analyst salaries,Greater Los Angeles Area,"$83,900/yr",60100,117000
Boeing Business Intelligence Analyst salaries,Greater Chicago Area,"$80,500/yr",57600,112000
Boeing Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$78,900/yr",56500,110000
Boeing Business Intelligence Analyst salaries,Greater Denver Area,"$79,700/yr",57100,111000
Boeing Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$76,300/yr",54700,106000
Boeing Business Intelligence Analyst salaries,Greater St. Louis Area,"$73,500/yr",52600,103000
Boeing Business Intelligence Analyst salaries,"Charleston, South Carolina Area","$71,600/yr",51300,99900
Boeing Business Intelligence Analyst salaries,"Bellingham, Washington Area","$76,300/yr",54700,106000
Intel Corporation Business Intelligence Analyst salaries,Greater Los Angeles Area,"$88,100/yr",66200,117000
Intel Corporation Business Intelligence Analyst salaries,Greater Chicago Area,"$84,500/yr",63500,112000
Intel Corporation Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$80,100/yr",60200,107000
Intel Corporation Business Intelligence Analyst salaries,"Portland, Oregon Area","$83,600/yr",62800,111000
Intel Corporation Business Intelligence Analyst salaries,"Sacramento, California Area","$87,600/yr",65800,117000
Bank of America Business Intelligence Analyst salaries,Greater New York City Area,"$74,500/yr",52400,106000
Bank of America Business Intelligence Analyst salaries,Greater Los Angeles Area,"$71,300/yr",50200,101000
Bank of America Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$67,100/yr",47200,95300
Bank of America Business Intelligence Analyst salaries,"Phoenix, Arizona Area","$64,800/yr",45600,92200
Bank of America Business Intelligence Analyst salaries,"Charlotte, North Carolina Area","$65,000/yr",45700,92400
Bank of America Business Intelligence Analyst salaries,Greater Pittsburgh Area,"$62,600/yr",44000,89000
Facebook Business Intelligence Analyst salaries,San Francisco Bay Area,"$127,000/yr",91700,175000
Facebook Business Intelligence Analyst salaries,"Austin, Texas Area","$100,000/yr",72700,139000
Amazon Web Services (AWS) Business Intelligence Analyst salaries,Greater New York City Area,"$98,000/yr",74100,130000
Amazon Web Services (AWS) Business Intelligence Analyst salaries,San Francisco Bay Area,"$110,000/yr",83000,145000
Amazon Web Services (AWS) Business Intelligence Analyst salaries,Greater Seattle Area,"$97,200/yr",73500,129000
Goldman Sachs Business Intelligence Analyst salaries,Greater Chicago Area,"$77,300/yr",56100,106000
Goldman Sachs Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$75,800/yr",55000,104000
Walmart Business Intelligence Analyst salaries,Dallas/Fort Worth Area,"$73,800/yr",51400,106000
